name,time,Alcohol
Al_cohol,1709336958293098448,1.00
Al_cohol,1709336959024834856,1.00
Al_cohol,1709336960789792876,1.00
Al_cohol,1709336960984355530,1.00
Al_cohol,1709336961853805455,0.00
Al_cohol,1709336962847074139,1.00
Al_cohol,1709339053063845545,0.00
Al_cohol,1709339058053147315,0.00
Al_cohol,1709339063053479304,1.00
Al_cohol,1709339068961611015,1.00
Al_cohol,1709339073970823121,1.00
Al_cohol,1709339078749165005,1.00
Al_cohol,1709339083767377802,1.00
Al_cohol,1709339088754563355,0.00
Al_cohol,1709339093766994392,0.00
Al_cohol,1709339098750598698,1.00
Al_cohol,1709339103761957752,0.00
Al_cohol,1709339108751224739,1.00
Al_cohol,1709339113775518012,0.00
Al_cohol,1709339118748021975,1.00
Al_cohol,1709339123761525797,0.00
Al_cohol,1709339128750156417,1.00
Al_cohol,1709339133773504260,1.00
Al_cohol,1709339138754500315,1.00
Al_cohol,1709339143766455897,0.00
Al_cohol,1709339148763583973,0.00
Al_cohol,1709339153769752745,1.00
Al_cohol,1709339158759600890,1.00
Al_cohol,1709339163770689898,1.00
Al_cohol,1709339594882531117,1.00
Al_cohol,1709339596580809198,1.00
Al_cohol,1709339613524848663,0.00
Al_cohol,1709711735821716153,1.00
Al_cohol,1709711735907735365,1.00
Al_cohol,1709711735960113527,0.00
Al_cohol,1709711736153086925,1.00
Al_cohol,1709711740183800323,1.00
Al_cohol,1709711740731246594,0.00
Al_cohol,1709711741128806601,0.00
Al_cohol,1709711741416258781,1.00
Al_cohol,1709711741696513626,1.00
Al_cohol,1709711743100374359,0.00
Al_cohol,1709711743197319649,1.00
Al_cohol,1709711746086551517,1.00
Al_cohol,1709711749111863610,0.00
Al_cohol,1709711957213515877,0.00
Al_cohol,1709711962104330727,0.00
Al_cohol,1709711967137006154,1.00
Al_cohol,1709711972107949934,1.00
Al_cohol,1709711977085180134,1.00
Al_cohol,1709711982079927830,0.00
Al_cohol,1709711987090070058,1.00
Al_cohol,1709711992096131743,1.00
Al_cohol,1709711997096873150,0.00
Al_cohol,1709712002103344521,1.00
Al_cohol,1709712007129824635,1.00
Al_cohol,1709712012111433494,1.00
Al_cohol,1709712017138211003,1.00
Al_cohol,1709712022141035922,0.00
Al_cohol,1709712027119855647,1.00
Al_cohol,1709712032116000578,1.00
Al_cohol,1709712037259733100,0.00
Al_cohol,1709712042237371242,0.00
Al_cohol,1709712047196761266,0.00
Al_cohol,1709712052135531509,1.00
Al_cohol,1709712057261300472,1.00
Al_cohol,1709712062186001943,0.00
Al_cohol,1709712067172840263,0.00
Al_cohol,1709712072163657719,0.00
Al_cohol,1709712077252673889,0.00
Al_cohol,1709712082217326502,1.00
Al_cohol,1709712087222893135,0.00
Al_cohol,1709712092231376303,0.00
Al_cohol,1709712097467125251,0.00
Al_cohol,1709712102302644354,1.00
Al_cohol,1709712107311796674,1.00
Al_cohol,1709712112292456158,1.00
