name,time,heat,hum,temp
Baby_Room_Conditions,1709327680252520398,19.94,51,20.5
Baby_Room_Conditions,1709327684256331241,19.94,51,20.5
Baby_Room_Conditions,1709327688256605867,19.94,51,20.5
Baby_Room_Conditions,1709327692259056712,19.94,51,20.5
Baby_Room_Conditions,1709327696265366170,19.94,51,20.5
Baby_Room_Conditions,1709327700269723833,19.94,51,20.5
Baby_Room_Conditions,1709327704273953866,19.94,51,20.5
Baby_Room_Conditions,1709327708275503565,19.94,51,20.5
Baby_Room_Conditions,1709327712271558299,19.94,51,20.5
Baby_Room_Conditions,1709327716278995639,19.94,51,20.5
Baby_Room_Conditions,1709327720280136090,19.94,51,20.5
Baby_Room_Conditions,1709327724284582235,19.94,51,20.5
Baby_Room_Conditions,1709327728279952745,19.94,51,20.5
Baby_Room_Conditions,1709327732283119565,19.94,51,20.5
Baby_Room_Conditions,1709327736286237504,19.94,51,20.5
Baby_Room_Conditions,1709327740288152655,19.94,51,20.5
Baby_Room_Conditions,1709327744286669972,19.94,51,20.5
Baby_Room_Conditions,1709327748293722295,19.94,51,20.5
Baby_Room_Conditions,1709327752293771686,19.94,51,20.5
Baby_Room_Conditions,1709327756298256769,19.94,51,20.5
Baby_Room_Conditions,1709327760306161087,19.94,51,20.5
Baby_Room_Conditions,1709327764308749656,19.94,51,20.5
Baby_Room_Conditions,1709327768312882931,19.94,51,20.5
Baby_Room_Conditions,1709327772310557283,19.94,51,20.5
Baby_Room_Conditions,1709327776313063730,19.94,51,20.5
Baby_Room_Conditions,1709327780313005829,19.94,51,20.5
Baby_Room_Conditions,1709327784316591120,19.94,51,20.5
Baby_Room_Conditions,1709327788325410121,19.94,51,20.5
Baby_Room_Conditions,1709327792322374946,19.94,51,20.5
Baby_Room_Conditions,1709327796321783902,19.94,51,20.5
Baby_Room_Conditions,1709327800332849838,19.94,51,20.5
Baby_Room_Conditions,1709327804334975862,19.94,51,20.5
Baby_Room_Conditions,1709327808337833988,19.94,51,20.5
Baby_Room_Conditions,1709327812336254331,19.94,51,20.5
Baby_Room_Conditions,1709327816340625569,19.94,51,20.5
Baby_Room_Conditions,1709327820338585015,19.94,51,20.5
Baby_Room_Conditions,1709327824357675277,19.94,51,20.5
Baby_Room_Conditions,1709327828357511062,19.94,51,20.5
Baby_Room_Conditions,1709327832359201186,19.94,51,20.5
Baby_Room_Conditions,1709327836357882949,19.94,51,20.5
Baby_Room_Conditions,1709327840365192321,19.94,51,20.5
Baby_Room_Conditions,1709327844361009804,19.94,51,20.5
Baby_Room_Conditions,1709327848359383452,19.94,51,20.5
Baby_Room_Conditions,1709327852367186390,19.94,51,20.5
Baby_Room_Conditions,1709327856360416912,19.94,51,20.5
Baby_Room_Conditions,1709327860358733098,19.94,51,20.5
Baby_Room_Conditions,1709327864363716844,19.94,51,20.5
Baby_Room_Conditions,1709327868369112791,19.94,51,20.5
Baby_Room_Conditions,1709327872364134561,19.94,51,20.5
Baby_Room_Conditions,1709327876365389933,19.94,51,20.5
Baby_Room_Conditions,1709327880364672952,19.94,51,20.5
Baby_Room_Conditions,1709327884371538451,19.94,51,20.5
Baby_Room_Conditions,1709327888373838407,19.94,51,20.5
Baby_Room_Conditions,1709327892375956022,19.94,51,20.5
Baby_Room_Conditions,1709327896376631211,19.94,51,20.5
Baby_Room_Conditions,1709327900381834754,19.94,51,20.5
Baby_Room_Conditions,1709327904379879553,19.94,51,20.5
Baby_Room_Conditions,1709327908382726550,19.94,51,20.5
Baby_Room_Conditions,1709327912385961076,19.94,51,20.5
Baby_Room_Conditions,1709327916390492646,19.94,51,20.5
Baby_Room_Conditions,1709327920386009029,19.94,51,20.5
Baby_Room_Conditions,1709327924391822769,19.94,51,20.5
Baby_Room_Conditions,1709327928393976229,19.94,51,20.5
Baby_Room_Conditions,1709327932396148459,19.94,51,20.5
Baby_Room_Conditions,1709327936399680372,19.94,51,20.5
Baby_Room_Conditions,1709327940396412199,19.94,51,20.5
Baby_Room_Conditions,1709327944402053793,19.94,51,20.5
Baby_Room_Conditions,1709327948407505190,19.94,51,20.5
Baby_Room_Conditions,1709327952409694718,19.94,51,20.5
Baby_Room_Conditions,1709327956410177869,19.94,51,20.5
Baby_Room_Conditions,1709327960410738049,19.94,51,20.5
Baby_Room_Conditions,1709327964416234401,19.94,51,20.5
Baby_Room_Conditions,1709327968419152194,19.94,51,20.5
Baby_Room_Conditions,1709327972421479049,19.94,51,20.5
Baby_Room_Conditions,1709327976425931695,19.94,51,20.5
Baby_Room_Conditions,1709327980422685432,19.94,51,20.5
Baby_Room_Conditions,1709327984440776907,19.94,51,20.5
Baby_Room_Conditions,1709327988434740284,19.94,51,20.5
Baby_Room_Conditions,1709327992446575095,19.94,51,20.5
Baby_Room_Conditions,1709327996433744877,19.94,51,20.5
Baby_Room_Conditions,1709328000436775544,19.94,51,20.5
Baby_Room_Conditions,1709328004437483664,19.94,51,20.5
Baby_Room_Conditions,1709328008452008167,19.94,51,20.5
Baby_Room_Conditions,1709328012456472155,19.94,51,20.5
Baby_Room_Conditions,1709328016456651688,19.94,51,20.5
Baby_Room_Conditions,1709328020465082991,19.94,51,20.5
Baby_Room_Conditions,1709328024461629418,19.94,51,20.5
Baby_Room_Conditions,1709328028462229179,19.94,51,20.5
Baby_Room_Conditions,1709328032464521994,19.94,51,20.5
Baby_Room_Conditions,1709328036466803509,19.94,51,20.5
Baby_Room_Conditions,1709328040474661353,19.94,51,20.5
Baby_Room_Conditions,1709328044482502684,19.94,51,20.5
Baby_Room_Conditions,1709328048480428052,19.94,51,20.5
Baby_Room_Conditions,1709328052482074194,19.94,51,20.5
Baby_Room_Conditions,1709328056482443520,19.94,51,20.5
Baby_Room_Conditions,1709328060485008168,19.94,51,20.5
Baby_Room_Conditions,1709328064483715196,19.94,51,20.5
Baby_Room_Conditions,1709328068487209383,19.94,51,20.5
Baby_Room_Conditions,1709328072492129990,19.94,51,20.5
Baby_Room_Conditions,1709328076488708341,19.94,51,20.5
Baby_Room_Conditions,1709328080495048154,19.94,51,20.5
Baby_Room_Conditions,1709328084505889394,19.94,51,20.5
Baby_Room_Conditions,1709328088495056666,19.94,51,20.5
Baby_Room_Conditions,1709328092497834097,19.94,51,20.5
Baby_Room_Conditions,1709328096498793548,19.94,51,20.5
Baby_Room_Conditions,1709328100497980123,19.94,51,20.5
Baby_Room_Conditions,1709328104502339719,19.94,51,20.5
Baby_Room_Conditions,1709328108503099686,19.94,51,20.5
Baby_Room_Conditions,1709328112505862502,19.94,51,20.5
Baby_Room_Conditions,1709328116510956965,19.94,51,20.5
Baby_Room_Conditions,1709328120512506843,19.94,51,20.5
Baby_Room_Conditions,1709328124515391239,19.94,51,20.5
Baby_Room_Conditions,1709328128517683614,19.94,51,20.5
Baby_Room_Conditions,1709328132516999097,19.94,51,20.5
Baby_Room_Conditions,1709328136516870145,19.94,51,20.5
Baby_Room_Conditions,1709328140517682895,19.94,51,20.5
Baby_Room_Conditions,1709328144520924725,19.94,51,20.5
Baby_Room_Conditions,1709328148527394739,19.94,51,20.5
Baby_Room_Conditions,1709328152527781377,19.94,51,20.5
Baby_Room_Conditions,1709328156533089247,19.94,51,20.5
Baby_Room_Conditions,1709328160531792702,19.94,51,20.5
Baby_Room_Conditions,1709328164538654744,21.06,52,21.5
Baby_Room_Conditions,1709328168537495507,19.94,51,20.5
Baby_Room_Conditions,1709328172540675315,19.94,51,20.5
Baby_Room_Conditions,1709328176543597136,19.94,51,20.5
Baby_Room_Conditions,1709328180544770568,19.94,51,20.5
Baby_Room_Conditions,1709328184544634771,19.94,51,20.5
Baby_Room_Conditions,1709328188548882908,19.94,51,20.5
Baby_Room_Conditions,1709328192551391087,19.94,51,20.5
Baby_Room_Conditions,1709328196550956509,19.94,51,20.5
Baby_Room_Conditions,1709328200552492605,19.94,51,20.5
Baby_Room_Conditions,1709328204570213124,19.94,51,20.5
Baby_Room_Conditions,1709328208576065457,19.94,51,20.5
Baby_Room_Conditions,1709328212572971184,19.94,51,20.5
Baby_Room_Conditions,1709328216580518371,19.94,51,20.5
Baby_Room_Conditions,1709328220573217239,19.94,51,20.5
Baby_Room_Conditions,1709328224576884539,19.94,51,20.5
Baby_Room_Conditions,1709328228580265600,19.94,51,20.5
Baby_Room_Conditions,1709328232582546471,19.94,51,20.5
Baby_Room_Conditions,1709328236582771638,19.94,51,20.5
Baby_Room_Conditions,1709328240599415177,19.94,51,20.5
Baby_Room_Conditions,1709328244594391288,19.94,51,20.5
Baby_Room_Conditions,1709328248609623906,19.94,51,20.5
Baby_Room_Conditions,1709328252615631358,19.94,51,20.5
Baby_Room_Conditions,1709328256598474879,19.94,51,20.5
Baby_Room_Conditions,1709328260599219354,19.94,51,20.5
Baby_Room_Conditions,1709328264603672846,19.94,51,20.5
Baby_Room_Conditions,1709328268602181911,19.94,51,20.5
Baby_Room_Conditions,1709328272604389366,19.94,51,20.5
Baby_Room_Conditions,1709328276606556653,19.94,51,20.5
Baby_Room_Conditions,1709328280606379887,19.94,51,20.5
Baby_Room_Conditions,1709328284606793934,19.94,51,20.5
Baby_Room_Conditions,1709328288613804306,19.94,51,20.5
Baby_Room_Conditions,1709328292612258181,19.94,51,20.5
Baby_Room_Conditions,1709328296610636726,19.94,51,20.5
Baby_Room_Conditions,1709328300615957890,19.94,51,20.5
Baby_Room_Conditions,1709328304614150298,19.94,51,20.5
Baby_Room_Conditions,1709328308621489001,19.94,51,20.5
Baby_Room_Conditions,1709328312620155574,19.94,51,20.5
Baby_Room_Conditions,1709328316626558245,19.94,51,20.5
Baby_Room_Conditions,1709328320625321429,19.94,51,20.5
Baby_Room_Conditions,1709328324628434022,19.94,51,20.5
Baby_Room_Conditions,1709328328633355525,19.94,51,20.5
Baby_Room_Conditions,1709328332632329500,21.06,52,21.5
Baby_Room_Conditions,1709328336634525703,19.94,51,20.5
Baby_Room_Conditions,1709328340637276553,19.94,51,20.5
Baby_Room_Conditions,1709328344641291105,21.06,52,21.5
Baby_Room_Conditions,1709328348642191951,19.94,51,20.5
Baby_Room_Conditions,1709328352650008683,19.94,51,20.5
Baby_Room_Conditions,1709328356648524992,19.94,51,20.5
Baby_Room_Conditions,1709328360650489717,19.94,51,20.5
Baby_Room_Conditions,1709328364653853137,19.94,51,20.5
Baby_Room_Conditions,1709328368655511997,19.94,51,20.5
Baby_Room_Conditions,1709328372652739080,19.94,51,20.5
Baby_Room_Conditions,1709328376655995280,19.94,51,20.5
Baby_Room_Conditions,1709328380660280330,19.94,51,20.5
Baby_Room_Conditions,1709328384676014917,19.94,51,20.5
Baby_Room_Conditions,1709328388666396345,19.94,51,20.5
Baby_Room_Conditions,1709328392671683996,19.94,51,20.5
Baby_Room_Conditions,1709328396668827550,19.94,51,20.5
Baby_Room_Conditions,1709328400667817076,19.94,51,20.5
Baby_Room_Conditions,1709328404674692727,19.94,51,20.5
Baby_Room_Conditions,1709328408670960393,19.94,51,20.5
Baby_Room_Conditions,1709328412672105876,19.94,51,20.5
Baby_Room_Conditions,1709328416674546861,19.94,51,20.5
Baby_Room_Conditions,1709328420693371658,21.06,52,21.5
Baby_Room_Conditions,1709328424683150390,19.94,51,20.5
Baby_Room_Conditions,1709328428690223289,19.94,51,20.5
Baby_Room_Conditions,1709328432695849626,19.94,51,20.5
Baby_Room_Conditions,1709328436700759967,19.94,51,20.5
Baby_Room_Conditions,1709328440711039000,19.94,51,20.5
Baby_Room_Conditions,1709328444704093474,19.94,51,20.5
Baby_Room_Conditions,1709328448716783238,19.94,51,20.5
Baby_Room_Conditions,1709328452710122780,19.94,51,20.5
Baby_Room_Conditions,1709328456704985052,19.94,51,20.5
Baby_Room_Conditions,1709328460702936706,21.06,52,21.5
Baby_Room_Conditions,1709328464709950870,21.06,52,21.5
