name,time,Status
Baby_status,1709340309445130588,Crying
Baby_status,1709884388800643845,not crying
Baby_status,1709884412007205590,crying
Baby_status,1709886906284639534,crying
Baby_status,1709886944471305320,crying
Baby_status,1709886947113091227,crying
Baby_status,1709886948557491639,crying
Baby_status,1709951914417274380,crying
Baby_status,1709951957556774735,not crying
Baby_status,1709951986365234966,crying
Baby_status,1709962342173574622,crying
Baby_status,1709962424791885373,crying
Baby_status,1709962429369142275,crying
Baby_status,1709962435208574864,crying
Baby_status,1709962439730369236,not crying
Baby_status,1709962444733153992,crying
Baby_status,1709962450054590940,crying
Baby_status,1709962455335224202,crying
Baby_status,1709962459892731925,crying
Baby_status,1709962464848708755,not crying
Baby_status,1709962469686550703,not crying
Baby_status,1709962475549383268,not crying
Baby_status,1709962479915700111,not crying
Baby_status,1709962490178386889,not crying
Baby_status,1709962495729370785,not crying
Baby_status,1709962499995967467,not crying
Baby_status,1709962504878289351,not crying
Baby_status,1709962510366287052,not crying
Baby_status,1709962516033029495,not crying
Baby_status,1709963920261267889,crying
Baby_status,1709963938240336838,not crying
Baby_status,1710005338693736679,not crying
Baby_status,1710005343536611726,not crying
Baby_status,1710005348513551939,not crying
Baby_status,1710005357481359433,not crying
Baby_status,1710005362796087909,crying
Baby_status,1710005367548870000,not crying
Baby_status,1710005373215335342,not crying
Baby_status,1710005378268603963,not crying
Baby_status,1710005383221098566,not crying
Baby_status,1710005389002886216,not crying
Baby_status,1710005393417350936,not crying
Baby_status,1710005398366285494,not crying
Baby_status,1710005403256347268,not crying
Baby_status,1710005408951908895,not crying
Baby_status,1710005413901235493,not crying
Baby_status,1710005419171160195,not crying
Baby_status,1710005424619807096,not crying
Baby_status,1710005429014447046,not crying
Baby_status,1710005434016706552,not crying
Baby_status,1710005438927183746,not crying
Baby_status,1710005444612179356,not crying
Baby_status,1710005448962842003,not crying
Baby_status,1710005453976067225,not crying
Baby_status,1710005459034404168,not crying
Baby_status,1710005464646923950,not crying
Baby_status,1710005469033149429,not crying
Baby_status,1710005473985615698,not crying
Baby_status,1710005479005648262,not crying
Baby_status,1710005484677380044,not crying
Baby_status,1710005489072005876,not crying
Baby_status,1710005494043510320,not crying
Baby_status,1710005499011591680,not crying
Baby_status,1710005504684736527,not crying
Baby_status,1710005509062796793,not crying
Baby_status,1710005517875525564,not crying
Baby_status,1710005522939772086,not crying
Baby_status,1710005527963470118,not crying
Baby_status,1710005533923846946,not crying
Baby_status,1710005538600745167,not crying
Baby_status,1710005543624395907,not crying
Baby_status,1710005549360160465,not crying
Baby_status,1710005553764736701,not crying
Baby_status,1710005558766127581,not crying
Baby_status,1710005563760783982,not crying
Baby_status,1710005569562391448,not crying
Baby_status,1710005573723262059,not crying
Baby_status,1710005578783395172,not crying
Baby_status,1710005583769305753,not crying
Baby_status,1710005589422223234,not crying
Baby_status,1710005594435988909,not crying
Baby_status,1710005599446268615,not crying
Baby_status,1710005605113940898,not crying
Baby_status,1710005609438559135,not crying
Baby_status,1710005614454764461,crying
Baby_status,1710005619530284740,crying
Baby_status,1710005625110445690,crying
Baby_status,1710005629489488346,not crying
Baby_status,1710005634577020034,not crying
Baby_status,1710005639403653174,not crying
Baby_status,1710005645131023256,not crying
Baby_status,1710005649416554298,not crying
Baby_status,1710005654415453488,not crying
Baby_status,1710005659460963236,not crying
Baby_status,1710005664400533117,not crying
Baby_status,1710005669429390702,not crying
Baby_status,1710005674426748115,not crying
Baby_status,1710005679420644582,not crying
Baby_status,1710005685216568413,not crying
Baby_status,1710005689497380335,not crying
Baby_status,1710005694587941157,not crying
Baby_status,1710005699585075441,not crying
Baby_status,1710005705200713699,not crying
Baby_status,1710005709670367279,not crying
Baby_status,1710005714570186389,crying
Baby_status,1710005719552648115,n/a
Baby_status,1710005719553103634,n/a
Baby_status,1710005725226605307,n/a
Baby_status,1710005725227262492,n/a
Baby_status,1710005729552099135,not crying
Baby_status,1710005734690709301,crying
Baby_status,1710005739860683522,crying
Baby_status,1710005745251826178,crying
Baby_status,1710005749691657272,crying
Baby_status,1710005754680530380,crying
Baby_status,1710005759728459465,crying
Baby_status,1710005765269420071,crying
Baby_status,1710005769731171691,not crying
Baby_status,1710005774501503647,not crying
Baby_status,1710005779672949143,not crying
Baby_status,1710005785280341808,not crying
Baby_status,1710005789624226807,not crying
Baby_status,1710005794662524305,not crying
Baby_status,1710005799647365279,not crying
Baby_status,1710005805401574539,not crying
Baby_status,1710005809632343191,not crying
Baby_status,1710005814607212668,not crying
Baby_status,1710005819604593616,not crying
Baby_status,1710005825312223976,not crying
Baby_status,1710005829606306186,not crying
Baby_status,1710005834663267770,not crying
Baby_status,1710005839665830114,not crying
Baby_status,1710005845322283189,not crying
Baby_status,1710005849689438706,not crying
Baby_status,1710005854626214634,not crying
Baby_status,1710005859751862205,not crying
Baby_status,1710005865361270098,not crying
Baby_status,1710005869661893900,not crying
Baby_status,1710005874657574549,not crying
Baby_status,1710005879636582270,not crying
Baby_status,1710005885383462533,not crying
Baby_status,1710005889664380167,not crying
Baby_status,1710005894714204765,not crying
Baby_status,1710005899657199881,not crying
Baby_status,1710005905398462758,not crying
Baby_status,1710005909683147466,not crying
Baby_status,1710005914819687297,not crying
Baby_status,1710005919681537611,not crying
Baby_status,1710005925390366311,not crying
Baby_status,1710005929666488023,not crying
Baby_status,1710005934787172818,not crying
Baby_status,1710005939794713405,not crying
Baby_status,1710005945399095149,not crying
Baby_status,1710005949829896357,not crying
Baby_status,1710005954914585345,not crying
Baby_status,1710005959761010922,not crying
Baby_status,1710005965517090009,not crying
Baby_status,1710005969739933229,not crying
Baby_status,1710005974711418856,not crying
Baby_status,1710005979798072907,not crying
Baby_status,1710005985420073870,not crying
Baby_status,1710005989789107856,not crying
Baby_status,1710005994801020932,not crying
Baby_status,1710005999721707575,not crying
Baby_status,1710006005418476917,not crying
Baby_status,1710006009696801708,not crying
Baby_status,1710006014814243253,not crying
Baby_status,1710006019751351377,not crying
Baby_status,1710006024701920151,not crying
Baby_status,1710006029739754789,not crying
Baby_status,1710006034729780704,not crying
Baby_status,1710006039743579473,not crying
Baby_status,1710006045457518619,not crying
Baby_status,1710006049756129458,not crying
Baby_status,1710006054794362727,not crying
Baby_status,1710006059811380773,not crying
Baby_status,1710006065461551465,not crying
Baby_status,1710006069782364995,not crying
Baby_status,1710006074785749125,not crying
Baby_status,1710006079751843139,not crying
Baby_status,1710006085484043935,not crying
Baby_status,1710006089812279628,not crying
Baby_status,1710006094772325321,not crying
Baby_status,1710006099760549579,not crying
Baby_status,1710006105505535242,not crying
Baby_status,1710006109829842613,not crying
Baby_status,1710006114815346504,not crying
Baby_status,1710006119820093053,not crying
Baby_status,1710006124771409274,not crying
Baby_status,1710006129843333485,not crying
Baby_status,1710006134822918855,not crying
Baby_status,1710006139812699255,not crying
