name,time,LPG
L_PG,1709336958293687040,0.00
L_PG,1709336959025751573,1.00
L_PG,1709336960789067878,1.00
L_PG,1709336960983236210,2.00
L_PG,1709336961853059050,2.00
L_PG,1709336962846477214,1.00
L_PG,1709339053062219145,0.00
L_PG,1709339058053841428,1.00
L_PG,1709339063052264725,1.00
L_PG,1709339068960175707,1.00
L_PG,1709339073972999520,1.00
L_PG,1709339078748572768,1.00
L_PG,1709339083768062227,2.00
L_PG,1709339088755039187,1.00
L_PG,1709339093762702375,1.00
L_PG,1709339098750740729,1.00
L_PG,1709339103759548593,1.00
L_PG,1709339108748617508,1.00
L_PG,1709339113773641820,2.00
L_PG,1709339118747583070,0.00
L_PG,1709339123760150645,2.00
L_PG,1709339128748033872,1.00
L_PG,1709339133772397024,2.00
L_PG,1709339138753054122,1.00
L_PG,1709339143763776114,1.00
L_PG,1709339148761592782,2.00
L_PG,1709339153768405405,1.00
L_PG,1709339158757276627,1.00
L_PG,1709339163769025945,2.00
L_PG,1709339594881530965,1.00
L_PG,1709339596578005040,0.00
L_PG,1709339613525588556,2.00
L_PG,1709711735821191570,0.00
L_PG,1709711735909726144,1.00
L_PG,1709711735959385403,0.00
L_PG,1709711736153626299,1.00
L_PG,1709711740181676888,1.00
L_PG,1709711740730109096,0.00
L_PG,1709711741130404307,1.00
L_PG,1709711741415413365,0.00
L_PG,1709711741693177120,1.00
L_PG,1709711743096469832,1.00
L_PG,1709711743196386109,1.00
L_PG,1709711746085422196,0.00
L_PG,1709711749110785278,1.00
L_PG,1709711957205388650,0.00
L_PG,1709711962106010672,0.00
L_PG,1709711967134857512,0.00
L_PG,1709711972109149828,1.00
L_PG,1709711977083467689,0.00
L_PG,1709711982080947620,1.00
L_PG,1709711987088832612,2.00
L_PG,1709711992089652900,1.00
L_PG,1709711997094349405,2.00
L_PG,1709712002100629057,1.00
L_PG,1709712007127189743,1.00
L_PG,1709712012103009654,1.00
L_PG,1709712017138210951,1.00
L_PG,1709712022134758328,0.00
L_PG,1709712027120994655,0.00
L_PG,1709712032114157404,1.00
L_PG,1709712037255650815,1.00
L_PG,1709712042240054831,1.00
L_PG,1709712047197897514,0.00
L_PG,1709712052133645679,2.00
L_PG,1709712057262261617,1.00
L_PG,1709712062184199081,1.00
L_PG,1709712067171679796,1.00
L_PG,1709712072161497202,2.00
L_PG,1709712077251337642,1.00
L_PG,1709712082218586968,1.00
L_PG,1709712087221437669,1.00
L_PG,1709712092229034693,1.00
L_PG,1709712097464597026,2.00
L_PG,1709712102303066176,1.00
L_PG,1709712107310321677,2.00
L_PG,1709712112293383865,2.00
L_PG,1709712117483104365,0.00
L_PG,1709712122352807179,2.00
