name,time,not_ideal_temp_conditions
Not_Ideal_Env,1710005787405561197,1
Not_Ideal_Env,1710005792400256545,1
Not_Ideal_Env,1710005797424069384,1
Not_Ideal_Env,1710005802408599811,1
Not_Ideal_Env,1710005807415445252,1
Not_Ideal_Env,1710005812407070638,1
Not_Ideal_Env,1710005817489961096,1
Not_Ideal_Env,1710005822437630845,1
Not_Ideal_Env,1710005827459708539,1
Not_Ideal_Env,1710005832460446874,1
Not_Ideal_Env,1710005837510581579,1
Not_Ideal_Env,1710005842451584587,1
Not_Ideal_Env,1710005847469983027,1
Not_Ideal_Env,1710005852456957610,1
Not_Ideal_Env,1710005857525966725,1
Not_Ideal_Env,1710005862473464025,1
Not_Ideal_Env,1710005867468434886,1
Not_Ideal_Env,1710005872505600787,1
Not_Ideal_Env,1710005877554067307,1
Not_Ideal_Env,1710005882472722087,1
Not_Ideal_Env,1710005887483148811,1
Not_Ideal_Env,1710005892480093688,1
Not_Ideal_Env,1710005897534829797,1
Not_Ideal_Env,1710005902532998223,1
Not_Ideal_Env,1710005907549569844,1
Not_Ideal_Env,1710005912511831895,1
Not_Ideal_Env,1710005917542961023,1
Not_Ideal_Env,1710005922536232555,1
Not_Ideal_Env,1710005927536799869,1
Not_Ideal_Env,1710005932520160085,1
Not_Ideal_Env,1710005937566120628,1
Not_Ideal_Env,1710005942561989031,1
Not_Ideal_Env,1710005947554476326,1
Not_Ideal_Env,1710005952535125459,1
Not_Ideal_Env,1710005957603263633,1
Not_Ideal_Env,1710005962581655220,1
Not_Ideal_Env,1710005967598689404,1
Not_Ideal_Env,1710005972602890792,1
Not_Ideal_Env,1710005977611231616,1
Not_Ideal_Env,1710005982580072496,1
Not_Ideal_Env,1710005987615997123,1
Not_Ideal_Env,1710005992583845812,1
Not_Ideal_Env,1710005997618494602,1
Not_Ideal_Env,1710006002587893535,1
Not_Ideal_Env,1710006007600216768,1
Not_Ideal_Env,1710006012593384202,1
Not_Ideal_Env,1710006017637085804,1
Not_Ideal_Env,1710006022619345919,1
Not_Ideal_Env,1710006027636449058,1
Not_Ideal_Env,1710006032622936748,1
Not_Ideal_Env,1710006037633441041,1
Not_Ideal_Env,1710006042603347731,1
Not_Ideal_Env,1710006047640315354,1
Not_Ideal_Env,1710006052609091510,1
Not_Ideal_Env,1710006057614064069,1
Not_Ideal_Env,1710006062654074858,1
Not_Ideal_Env,1710006067853776838,1
Not_Ideal_Env,1710006072676061216,1
Not_Ideal_Env,1710006077656582673,1
Not_Ideal_Env,1710006082644043237,1
Not_Ideal_Env,1710006087672387687,1
Not_Ideal_Env,1710006092656961780,1
Not_Ideal_Env,1710006097669921781,1
Not_Ideal_Env,1710006102676992077,1
Not_Ideal_Env,1710006107659337991,1
Not_Ideal_Env,1710006112695185404,1
Not_Ideal_Env,1710006117701985950,1
Not_Ideal_Env,1710006122691445318,1
Not_Ideal_Env,1710006127784617421,1
Not_Ideal_Env,1710006132724908439,1
Not_Ideal_Env,1710006137679651400,1
Not_Ideal_Env,1710006142674847413,1
Not_Ideal_Env,1710006147677387476,1
Not_Ideal_Env,1710006152678024432,1
Not_Ideal_Env,1710006157726719415,1
Not_Ideal_Env,1710006162693463279,1
Not_Ideal_Env,1710006167692198713,1
Not_Ideal_Env,1710006172685493082,1
Not_Ideal_Env,1710006177699696767,1
Not_Ideal_Env,1710006182750022060,1
Not_Ideal_Env,1710006187735165915,1
Not_Ideal_Env,1710006192744616417,1
Not_Ideal_Env,1710006197702638248,1
Not_Ideal_Env,1710006202712629861,1
Not_Ideal_Env,1710006207702969467,1
Not_Ideal_Env,1710006212710793867,1
Not_Ideal_Env,1710006217706714723,1
Not_Ideal_Env,1710006222709122857,1
Not_Ideal_Env,1710006227761076824,1
Not_Ideal_Env,1710006232711156609,1
Not_Ideal_Env,1710006237799392243,1
Not_Ideal_Env,1710006242715835854,1
Not_Ideal_Env,1710006247749001167,1
Not_Ideal_Env,1710006252728948072,1
Not_Ideal_Env,1710006257917310021,1
Not_Ideal_Env,1710006262741718448,1
Not_Ideal_Env,1710006267745745504,1
Not_Ideal_Env,1710006272738499688,1
Not_Ideal_Env,1710006277744040556,1
Not_Ideal_Env,1710006282815350587,1
Not_Ideal_Env,1710006287741940846,1
Not_Ideal_Env,1710006292756874620,1
