name,time,CO
C_O,1709336958294790788,0.00000
C_O,1709336959024519597,0.00000
C_O,1709336960789700168,0.00000
C_O,1709336960986020578,0.00000
C_O,1709336961855601388,0.00000
C_O,1709336962849264603,0.00000
C_O,1709339053064994396,0.00000
C_O,1709339058054593456,0.00000
C_O,1709339063053750293,0.00000
C_O,1709339068962983094,0.00000
C_O,1709339073971075151,0.00000
C_O,1709339078749812191,0.00000
C_O,1709339083767377802,0.00000
C_O,1709339088753814295,0.00000
C_O,1709339093765468355,0.00000
C_O,1709339098751106093,0.00000
C_O,1709339103762498687,0.00000
C_O,1709339108751142552,0.00000
C_O,1709339113775763636,0.00000
C_O,1709339118748180881,0.00000
C_O,1709339123761870431,0.00000
C_O,1709339128750492978,0.00000
C_O,1709339133774790714,0.00000
C_O,1709339138754501617,0.00000
C_O,1709339143766599386,0.00000
C_O,1709339148764736574,0.00000
C_O,1709339153769752692,0.00000
C_O,1709339158760341408,0.00000
C_O,1709339163771602812,0.00000
C_O,1709339594883821478,0.00000
C_O,1709339596580004356,0.00000
C_O,1709339613525378192,0.00000
C_O,1709711735822719277,0.00000
C_O,1709711735905270368,0.00000
C_O,1709711735960362798,0.00000
C_O,1709711736153201560,0.00000
C_O,1709711740182823345,0.00000
C_O,1709711740732681384,0.00000
C_O,1709711741129308215,0.00000
C_O,1709711741418180341,0.00000
C_O,1709711741700859142,0.00000
C_O,1709711743098891860,0.00000
C_O,1709711743197763815,0.00000
C_O,1709711746087120527,0.00000
C_O,1709711749112821629,0.00000
C_O,1709711957214458531,0.00000
C_O,1709711962107179264,0.00000
C_O,1709711967137860840,0.00000
C_O,1709711972114213049,0.00000
C_O,1709711977086068726,0.00000
C_O,1709711982080863610,0.00000
C_O,1709711987090705734,0.00000
C_O,1709711992093290758,0.00000
C_O,1709711997098039346,0.00000
C_O,1709712002103813114,0.00000
C_O,1709712007130794842,0.00000
C_O,1709712012104372048,0.00000
C_O,1709712017139803657,0.00000
C_O,1709712022138345041,0.00000
C_O,1709712027120433406,0.00000
C_O,1709712032116583390,0.00000
C_O,1709712037261629920,0.00000
C_O,1709712042236633118,0.00000
C_O,1709712047198469232,0.00000
C_O,1709712052136016613,0.00000
C_O,1709712057261300420,0.00000
C_O,1709712062187511888,0.00000
C_O,1709712067173447345,0.00000
C_O,1709712072164019073,0.00000
C_O,1709712077255803051,0.00000
C_O,1709712082217419054,0.00000
C_O,1709712087223961727,0.00000
C_O,1709712092232267864,0.00000
C_O,1709712097469573268,0.00000
C_O,1709712102304854090,0.00000
C_O,1709712107312514589,0.00000
C_O,1709712112292996053,0.00000
C_O,1709712117484557904,0.00000
C_O,1709712122346863388,0.00000
C_O,1709712127363918525,0.00000
C_O,1709712132354872855,0.00000
C_O,1709712137415143447,0.00000
C_O,1709712142383483245,0.00000
C_O,1709712147377152562,0.00000
C_O,1709712152398285976,0.00000
C_O,1709712157479964626,0.00000
C_O,1709712162450496060,0.00000
C_O,1709712167436501249,0.00000
C_O,1709712172460037341,0.00000
C_O,1709712177525195630,0.00000
C_O,1709712182492279130,0.00000
C_O,1709712187488894277,0.00000
C_O,1709712192501607813,0.00000
C_O,1709712197587847500,0.00000
C_O,1709712202562845756,0.00000
C_O,1709712207582097560,0.00000
C_O,1709712212568800499,0.00000
C_O,1709712217931766427,0.00000
C_O,1709712222682388411,0.00000
C_O,1709712227682640648,0.00000
C_O,1709712232771592288,0.00000
C_O,1709712237785300508,0.00000
C_O,1709712242749350782,0.00000
C_O,1709712247791239802,0.00000
C_O,1709712252779395676,0.00000
C_O,1709712257840728793,0.00000
C_O,1709712262839940499,0.00000
C_O,1709712267870371507,0.00000
C_O,1709712272815029638,0.00000
C_O,1709712277880210393,0.00000
C_O,1709712282829431610,0.00000
C_O,1709712287945610518,0.00000
C_O,1709712292861036769,0.00000
C_O,1709712297918259769,0.00000
C_O,1709712302876207576,0.00000
C_O,1709712307898088634,0.00000
C_O,1709712312919791708,0.00000
C_O,1709712317981238755,0.00000
C_O,1709712322887785979,0.00000
C_O,1709712328051362542,0.00000
C_O,1709712332902621718,0.00000
C_O,1709712337970453435,0.00000
C_O,1709712342935406482,0.00000
C_O,1709712347950182024,0.00000
C_O,1709712352959647875,0.00000
C_O,1709712357949582708,0.00000
C_O,1709712362983230517,0.00000
C_O,1709712368009500306,0.00000
C_O,1709712373041732779,0.00000
C_O,1709712378115607919,0.00000
C_O,1709712383072005618,0.00000
C_O,1709712388054934867,0.00000
C_O,1709712393095129878,0.00000
C_O,1709712398144902774,0.00000
C_O,1709712403100118186,0.00000
C_O,1709712408170669455,0.00000
C_O,1709712413109996281,0.00000
C_O,1709712418248762705,0.00000
C_O,1709712423195997877,0.00000
C_O,1709712428202284797,0.00000
C_O,1709712433199009380,0.00000
C_O,1709712438218606095,0.00000
C_O,1709712443209738011,0.00000
C_O,1709712448233061206,0.00000
C_O,1709712453242773792,0.00000
C_O,1709712458278125171,0.00000
C_O,1709712463228532487,0.00000
C_O,1709712468207275415,0.00000
C_O,1709712473226118408,0.00000
