name,time,Propane
Pro_pane,1709336958293102198,0.00
Pro_pane,1709336959024667721,1.00
Pro_pane,1709336960790710062,0.00
Pro_pane,1709336960986310578,1.00
Pro_pane,1709336961855282378,1.00
Pro_pane,1709336962848297418,0.00
Pro_pane,1709339053065445853,1.00
Pro_pane,1709339058052672734,1.00
Pro_pane,1709339063055118414,1.00
Pro_pane,1709339068963072833,2.00
Pro_pane,1709339073974689462,1.00
Pro_pane,1709339078751203280,1.00
Pro_pane,1709339083770761437,0.00
Pro_pane,1709339088754140231,1.00
Pro_pane,1709339093767569182,1.00
Pro_pane,1709339098750351981,2.00
Pro_pane,1709339103763713840,0.00
Pro_pane,1709339108751703019,0.00
Pro_pane,1709339113777272589,1.00
Pro_pane,1709339118749284106,1.00
Pro_pane,1709339123763647040,0.00
Pro_pane,1709339128751986827,0.00
Pro_pane,1709339133776192636,1.00
Pro_pane,1709339138755821196,2.00
Pro_pane,1709339143769823802,2.00
Pro_pane,1709339148764705584,0.00
Pro_pane,1709339153771433624,2.00
Pro_pane,1709339158760341460,2.00
Pro_pane,1709339163773050307,0.00
Pro_pane,1709339594884978713,2.00
Pro_pane,1709339596580893051,1.00
Pro_pane,1709339613527185947,0.00
Pro_pane,1709711735831015880,2.00
Pro_pane,1709711735910619424,2.00
Pro_pane,1709711735961318317,1.00
Pro_pane,1709711736153107550,0.00
Pro_pane,1709711740183800323,2.00
Pro_pane,1709711740733755862,2.00
Pro_pane,1709711741128834361,2.00
Pro_pane,1709711741417250238,2.00
Pro_pane,1709711741700106486,1.00
Pro_pane,1709711743103530657,1.00
Pro_pane,1709711743198699387,2.00
Pro_pane,1709711746088112609,2.00
Pro_pane,1709711749114050742,1.00
Pro_pane,1709711957213894522,1.00
Pro_pane,1709711962106152286,1.00
Pro_pane,1709711967145436765,1.00
Pro_pane,1709711972112536645,1.00
Pro_pane,1709711977087450182,1.00
Pro_pane,1709711982079927674,1.00
Pro_pane,1709711987092264429,1.00
Pro_pane,1709711992096123254,1.00
Pro_pane,1709711997100183145,0.00
Pro_pane,1709712002104979831,1.00
Pro_pane,1709712007132870411,1.00
Pro_pane,1709712012108645687,2.00
Pro_pane,1709712017140731415,2.00
Pro_pane,1709712022140424152,1.00
Pro_pane,1709712027119855907,1.00
Pro_pane,1709712032117609169,2.00
Pro_pane,1709712037264110541,1.00
Pro_pane,1709712042240054779,1.00
Pro_pane,1709712047198860221,0.00
Pro_pane,1709712052140277283,1.00
Pro_pane,1709712057265075778,1.00
Pro_pane,1709712062189819697,1.00
Pro_pane,1709712067176238538,1.00
Pro_pane,1709712072165425477,1.00
Pro_pane,1709712077255034979,2.00
Pro_pane,1709712082216690253,1.00
Pro_pane,1709712087223961727,1.00
Pro_pane,1709712092233764008,1.00
Pro_pane,1709712097473701281,2.00
Pro_pane,1709712102302644250,2.00
Pro_pane,1709712107314749794,1.00
Pro_pane,1709712112292456262,1.00
Pro_pane,1709712117485941548,1.00
Pro_pane,1709712122347795521,0.00
Pro_pane,1709712127365653418,1.00
Pro_pane,1709712132353261139,1.00
Pro_pane,1709712137418597451,0.00
Pro_pane,1709712142382845278,0.00
Pro_pane,1709712147377954331,2.00
Pro_pane,1709712152399640244,2.00
Pro_pane,1709712157478734940,0.00
Pro_pane,1709712162453387044,1.00
Pro_pane,1709712167437391404,1.00
Pro_pane,1709712172458501927,2.00
Pro_pane,1709712177527110054,1.00
Pro_pane,1709712182494514074,1.00
Pro_pane,1709712187490576826,1.00
Pro_pane,1709712192503310415,1.00
Pro_pane,1709712197589262028,1.00
Pro_pane,1709712202564646638,2.00
Pro_pane,1709712207583801984,0.00
Pro_pane,1709712212570235184,1.00
Pro_pane,1709712217932779550,0.00
Pro_pane,1709712222682631796,2.00
Pro_pane,1709712227684461166,2.00
Pro_pane,1709712232772426713,2.00
Pro_pane,1709712237790306696,1.00
Pro_pane,1709712242748450419,2.00
Pro_pane,1709712247793217975,0.00
Pro_pane,1709712252780400466,0.00
Pro_pane,1709712257843412642,1.00
Pro_pane,1709712262840828519,1.00
Pro_pane,1709712267872132910,2.00
Pro_pane,1709712272816345365,1.00
Pro_pane,1709712277881866014,1.00
Pro_pane,1709712282831141242,0.00
Pro_pane,1709712287947424213,1.00
Pro_pane,1709712292862585047,1.00
Pro_pane,1709712297916257637,0.00
Pro_pane,1709712302876969814,2.00
Pro_pane,1709712307900495140,0.00
Pro_pane,1709712312926362061,1.00
Pro_pane,1709712317983856198,1.00
Pro_pane,1709712322889329153,2.00
Pro_pane,1709712328058615757,0.00
Pro_pane,1709712332903678018,1.00
Pro_pane,1709712337972761660,2.00
Pro_pane,1709712342937428405,1.00
Pro_pane,1709712347953316757,2.00
Pro_pane,1709712352961046257,1.00
Pro_pane,1709712357950444008,2.00
Pro_pane,1709712362982695414,2.00
Pro_pane,1709712368011578532,1.00
Pro_pane,1709712373040220178,0.00
Pro_pane,1709712378117201927,1.00
Pro_pane,1709712383075107174,0.00
Pro_pane,1709712388059958086,2.00
Pro_pane,1709712393104125173,1.00
Pro_pane,1709712398149383234,1.00
Pro_pane,1709712403099265219,0.00
Pro_pane,1709712408176474184,2.00
Pro_pane,1709712413112332058,1.00
Pro_pane,1709712418250491556,0.00
Pro_pane,1709712423195785690,2.00
Pro_pane,1709712428203154639,1.00
Pro_pane,1709712433198027039,1.00
Pro_pane,1709712438218606251,2.00
Pro_pane,1709712443211193841,2.00
Pro_pane,1709712448234617557,2.00
Pro_pane,1709712453243852123,1.00
Pro_pane,1709712458283352660,1.00
Pro_pane,1709712463229389517,2.00
Pro_pane,1709712468206394583,2.00
Pro_pane,1709712473226118096,0.00
Pro_pane,1709712478253942051,2.00
Pro_pane,1709712483210463167,1.00
Pro_pane,1709712488271665212,2.00
Pro_pane,1709712493295771852,1.00
Pro_pane,1709712498505831132,1.00
Pro_pane,1709712503321650874,2.00
Pro_pane,1709712508265681132,2.00
Pro_pane,1709712513255200925,1.00
Pro_pane,1709712518447189367,0.00
Pro_pane,1709712523311432777,2.00
Pro_pane,1709712528312583925,1.00
Pro_pane,1709712533300167121,1.00
Pro_pane,1709712538351313566,1.00
Pro_pane,1709712543332146862,1.00
Pro_pane,1709712548335908644,0.00
Pro_pane,1709712553320412643,0.00
Pro_pane,1709712558555225349,2.00
Pro_pane,1709712563422461649,1.00
Pro_pane,1709712568425474387,0.00
Pro_pane,1709712573442666670,1.00
Pro_pane,1709712578520112677,2.00
Pro_pane,1709712583491119932,0.00
Pro_pane,1709712588514951030,0.00
Pro_pane,1709712593504058545,0.00
Pro_pane,1709712598712602637,1.00
Pro_pane,1709712603578715228,2.00
Pro_pane,1709712608586749814,2.00
Pro_pane,1709712613592585543,1.00
Pro_pane,1709712618712192855,1.00
Pro_pane,1709712623685440197,1.00
Pro_pane,1709712628701149736,1.00
Pro_pane,1709712633608460998,1.00
Pro_pane,1709712639134796044,1.00
Pro_pane,1709712643630649483,1.00
Pro_pane,1709712648658241155,2.00
Pro_pane,1709712653648232687,1.00
Pro_pane,1709712658850859716,1.00
Pro_pane,1709712663762860455,1.00
Pro_pane,1709712668743217246,1.00
Pro_pane,1709712673737386553,1.00
Pro_pane,1709712679016514332,0.00
Pro_pane,1709712683799637703,0.00
Pro_pane,1709712688811189089,1.00
Pro_pane,1709712693813284967,2.00
Pro_pane,1709712698919453801,1.00
Pro_pane,1709712703866564153,1.00
Pro_pane,1709712708870465787,1.00
Pro_pane,1709712713873966219,0.00
Pro_pane,1709712719078394510,2.00
Pro_pane,1709712723972125467,0.00
Pro_pane,1709712728999950515,1.00
Pro_pane,1709712733984447574,2.00
Pro_pane,1709712739129336483,1.00
Pro_pane,1709712744054863443,0.00
Pro_pane,1709712749047957444,1.00
Pro_pane,1709712754039007381,2.00
Pro_pane,1709712759079344554,2.00
Pro_pane,1709712764070415469,0.00
Pro_pane,1709712769080664775,2.00
Pro_pane,1709712774086525074,1.00
Pro_pane,1709712779318568127,1.00
Pro_pane,1709712784134848287,1.00
Pro_pane,1709712789174074854,1.00
Pro_pane,1709712794160398295,2.00
Pro_pane,1709712799402541877,1.00
Pro_pane,1709712804295953365,2.00
Pro_pane,1709712809322600924,0.00
Pro_pane,1709712814327919252,1.00
Pro_pane,1709712819438263606,2.00
Pro_pane,1709712824359734649,1.00
Pro_pane,1709712829409237661,0.00
Pro_pane,1709712834422906002,1.00
Pro_pane,1709712839444820675,1.00
Pro_pane,1709712844415207481,1.00
Pro_pane,1709712849467754007,1.00
Pro_pane,1709712854461294661,1.00
Pro_pane,1709712859490943412,1.00
Pro_pane,1709712864487283477,0.00
Pro_pane,1709712869486860615,0.00
Pro_pane,1709712874491599768,1.00
Pro_pane,1709712879513042318,1.00
Pro_pane,1709712884463566679,1.00
Pro_pane,1709712889539022701,2.00
